"id";"title";"date";"created_at";"updated_at"
7;"Jul 2013 Covers";"2013-07-01";"2013-07-06 08:21:50.301701";"2013-07-06 08:23:18.476701"
8;"Jul 2013 Issue";"2013-07-01";"2013-07-07 08:04:12.88893";"2013-07-07 08:04:12.88893"
82;"Jul 2015 Covers";"2015-07-01";"2015-07-14 20:14:17.652191";"2015-07-16 01:59:20.787153"
83;"Jul 2015 Issue";"2015-07-01";"2015-07-14 20:16:03.187382";"2015-07-16 01:59:41.634342"
84;"Aug 2015 Covers";"2015-08-01";"2015-08-02 18:30:08.299056";"2015-08-02 18:30:08.299056"
85;"Aug 2015 Issue";"2015-08-01";"2015-08-02 18:31:27.238363";"2015-08-03 17:03:05.816637"
86;"Sep 2015 Covers";"2015-09-01";"2015-09-05 16:23:54.191084";"2015-09-05 16:23:54.191084"
87;"Sep 2015 Issue";"2015-09-01";"2015-09-05 16:25:14.612481";"2015-09-07 08:22:28.471103"
88;"Oct 2015 Covers";"2015-10-01";"2015-10-09 08:45:58.876331";"2015-10-09 08:45:58.876331"
89;"Oct 2015 Issue";"2015-10-01";"2015-10-09 08:49:25.651675";"2015-11-03 14:54:24.228182"
90;"Nov 2015 Covers";"2015-11-01";"2015-11-06 19:38:37.240114";"2015-11-06 19:44:29.233771"
91;"Nov 2015 Issue";"2015-11-01";"2015-11-06 19:45:38.474625";"2015-11-07 06:03:01.857289"
92;"Dec 2015 Covers";"2015-12-01";"2015-12-07 20:33:56.361157";"2015-12-07 20:33:56.361157"
93;"Dec 2015 Issue";"2015-12-01";"2015-12-07 20:35:24.029039";"2015-12-09 01:47:26.976651"
94;"Jan 2016 Covers";"2016-01-01";"2016-01-04 19:57:13.281718";"2016-01-05 08:16:04.166665"
95;"Jan 2016 Issue";"2016-01-01";"2016-01-04 19:59:01.068036";"2016-01-05 08:15:41.567624"
96;"Feb 2016 Covers";"2016-02-01";"2016-02-04 17:02:54.790445";"2016-02-04 17:02:54.790445"
97;"Feb 2016 Issue";"2016-02-01";"2016-02-04 23:45:06.017312";"2016-02-04 23:45:06.017312"
98;"Mar 2016 Covers";"2016-03-01";"2016-03-04 07:30:53.700366";"2016-03-04 07:30:53.700366"
99;"Mar 2016 Issue";"2016-03-01";"2016-03-04 07:42:13.458138";"2016-03-04 07:42:13.458138"
100;"Apr 2016 Covers";"2016-04-01";"2016-04-08 05:50:28.379985";"2016-04-08 05:50:28.379985"
101;"Apr 2016 Issue";"2016-04-01";"2016-04-08 06:12:30.90935";"2016-04-08 06:12:30.90935"
102;"May 2016 Covers";"2016-05-01";"2016-05-03 05:56:51.350642";"2016-05-03 05:56:51.350642"
103;"May 2016 Issue";"2016-05-01";"2016-05-03 06:18:04.90233";"2016-05-03 06:18:04.90233"
104;"Jun 2016 Covers";"2016-06-01";"2016-06-05 23:40:57.692991";"2016-06-05 23:40:57.692991"
105;"Jun 2016 Issue";"2016-06-01";"2016-06-06 01:36:18.869047";"2016-06-06 01:36:18.869047"
106;"Jul 2016 Covers";"2016-07-01";"2016-07-03 17:34:22.040374";"2016-07-03 17:34:22.040374"
107;"Jul 2016 Issue";"2016-07-01";"2016-07-03 17:42:55.05722";"2016-07-03 17:42:55.05722"
108;"Aug 2016 Covers";"2016-08-01";"2016-08-04 03:04:37.116607";"2016-08-04 03:04:37.116607"
109;"Aug 2016 Issue";"2016-08-01";"2016-08-04 05:53:31.014994";"2016-08-04 05:53:31.014994"
110;"Sep 2016 Covers";"2016-09-01";"2016-09-04 02:24:17.372821";"2016-09-04 02:24:17.372821"
111;"Sep 2016 Issue";"2016-09-01";"2016-09-04 02:30:25.178271";"2016-09-04 02:30:25.178271"
112;"Oct 2016 Covers";"2016-10-01";"2016-10-05 06:34:46.511597";"2016-10-05 06:34:46.511597"
113;"Oct 2016 Issue";"2016-10-01";"2016-10-05 07:46:03.018549";"2016-10-05 07:46:03.018549"
114;"Nov 2016 Covers";"2016-11-01";"2016-11-02 09:19:23.309305";"2016-11-02 09:19:23.309305"
115;"Nov 2016 Issue";"2016-11-01";"2016-11-02 09:25:06.887001";"2016-11-02 09:25:06.887001"
116;"Dec 2016 Covers";"2016-12-01";"2016-12-04 17:47:07.159203";"2016-12-04 17:47:56.865831"
117;"Dec 2016 Issue";"2016-12-01";"2016-12-04 17:55:56.014218";"2016-12-04 17:55:56.014218"
118;"Jan 2017 Covers";"2017-01-01";"2017-01-03 05:22:18.640467";"2017-01-03 05:22:18.640467"
119;"Jan 2017 Issue";"2017-01-01";"2017-01-03 05:28:50.294028";"2017-01-03 05:28:50.294028"
120;"Feb 2017 Covers";"2017-02-01";"2017-02-01 05:37:03.098757";"2017-02-01 05:37:03.098757"
121;"Feb 2017 Issue";"2017-02-01";"2017-02-01 05:44:40.632442";"2017-02-01 05:44:40.632442"
122;"Mar 2017 Covers";"2017-03-01";"2017-03-03 04:28:07.292427";"2017-03-03 04:28:07.292427"
123;"Mar 2017 Issue";"2017-03-01";"2017-03-03 04:34:58.973098";"2017-03-03 04:34:58.973098"
124;"Apr 2017 Covers";"2017-04-01";"2017-04-04 03:57:45.864595";"2017-04-04 03:57:45.864595"
125;"Apr 2017 Issue";"2017-04-01";"2017-04-04 04:09:56.804735";"2017-04-04 04:09:56.804735"
126;"May 2017 Covers";"2017-05-01";"2017-05-03 08:39:19.071169";"2017-05-03 08:39:19.071169"
127;"May 2017 Issue";"2017-05-01";"2017-05-03 13:47:09.84961";"2017-05-03 13:47:09.84961"
128;"Jun 2017 Covers";"2017-06-01";"2017-06-03 07:03:57.863641";"2017-06-03 07:03:57.863641"
129;"Jun 2017 Issue";"2017-06-01";"2017-06-03 07:10:48.330612";"2017-06-03 07:10:48.330612"
130;"Jul 2017 Covers";"2017-07-01";"2017-07-02 01:20:55.420548";"2017-07-02 01:20:55.420548"
131;"Jul 2017 Issue";"2017-07-01";"2017-07-02 01:31:15.820866";"2017-07-02 01:31:15.820866"
133;"Aug 2017 Covers";"2017-08-01";"2017-08-01 07:26:23.064173";"2017-08-01 07:26:23.064173"
134;"Aug 2017 Issue";"2017-08-01";"2017-08-01 07:33:54.820862";"2017-08-01 07:33:54.820862"
135;"Sep 2017 Covers";"2017-09-01";"2017-09-03 09:14:17.868649";"2017-09-03 09:14:17.868649"
136;"Sep 2017 Issue";"2017-09-01";"2017-09-03 09:20:14.65629";"2017-09-03 09:20:14.65629"
138;"Oct 2017 Covers";"2017-10-01";"2017-10-03 06:31:31.250669";"2017-10-03 06:31:31.250669"
139;"Oct 2017 Issue";"2017-10-01";"2017-10-03 06:36:54.941463";"2017-10-03 06:36:54.941463"
140;"Nov 2017 Covers";"2017-11-01";"2017-11-03 01:12:40.318274";"2017-11-03 01:12:40.318274"
141;"Nov 2017 Issue";"2017-11-01";"2017-11-03 01:18:58.616613";"2017-11-03 01:18:58.616613"
142;"Community Alert: Deportation";"2017-11-07";"2017-11-07 10:29:55.495524";"2017-11-07 10:29:55.495524"
143;"Dec 2017 Covers";"2017-12-01";"2017-12-04 05:51:49.530468";"2017-12-04 05:51:49.530468"
144;"Dec 2017 Issue";"2017-12-01";"2017-12-04 07:12:05.253173";"2017-12-04 07:12:05.253173"
145;"Jan 2018 Covers";"2018-01-01";"2018-01-04 11:37:48.912422";"2018-01-04 11:37:48.912422"
