"id";"title";"company";"image";"comment";"page_nr";"created_at";"updated_at";"issue_id";"url"
36;;;"000Cover-01_ThangChau-Done.jpg";;1;"2013-07-06 08:24:08.345379";"2013-07-06 08:24:08.345379";;
106;5;;"005PhoTuDo_NT-Enterprises-Done.gif";;5;"2013-07-24 22:26:17.348713";"2013-07-24 22:26:17.348713";;"http://nguoidep.s3.amazonaws.com/uploads/page/image/106/005PhoTuDo_NT-Enterprises-Done.gif"
117;21;;"021PhamHongDien-02-Done.gif";;21;"2013-07-24 22:38:50.582015";"2013-07-24 22:38:50.582015";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/117/021PhamHongDien-02-Done.gif"
118;22;;"022VienDongNewYork-Done.gif";;22;"2013-07-24 22:39:06.374952";"2013-07-24 22:39:06.374952";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/118/022VienDongNewYork-Done.gif"
129;;;"011WorldNews-03_ComTamNinhKieu_NamSon-Done.gif";;11;"2013-07-24 22:51:04.649289";"2013-07-24 22:51:04.649289";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/129/011WorldNews-03_ComTamNinhKieu_NamSon-Done.gif"
130;;;"012WorldNews-03_NancyMai_Even_-Done.gif";;12;"2013-07-24 22:51:31.513235";"2013-07-24 22:51:31.513235";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/130/012WorldNews-03_NancyMai_Even_-Done.gif"
131;;;"013MarySituNguyen_PhoMinh-Done.gif";;13;"2013-07-24 22:51:45.879655";"2013-07-24 22:51:45.879655";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/131/013MarySituNguyen_PhoMinh-Done.gif"
132;;;"014USA-WorldNews-01-Done.gif";;14;"2013-07-24 22:51:58.179066";"2013-07-24 22:51:58.179066";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/132/014USA-WorldNews-01-Done.gif"
133;;;"015MinhHieuJewelry_VinacomServices-Done.gif";;15;"2013-07-24 22:52:10.526663";"2013-07-24 22:52:10.526663";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/133/015MinhHieuJewelry_VinacomServices-Done.gif"
134;;;"016USA-WorldNews-02_NhaTrangCentre-Done.gif";;16;"2013-07-24 22:52:23.550511";"2013-07-24 22:52:23.550511";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/134/016USA-WorldNews-02_NhaTrangCentre-Done.gif"
135;;;"017CoffeeCento_TanPhatDatConstruction-Done.gif";;17;"2013-07-24 22:52:39.01441";"2013-07-24 22:52:39.01441";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/135/017CoffeeCento_TanPhatDatConstruction-Done.gif"
136;;;"018NhungTruyenHayRatNgan_NhaHangTanTheGioi-Done.gif";;18;"2013-07-24 22:52:54.081881";"2013-07-24 22:52:54.081881";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/136/018NhungTruyenHayRatNgan_NhaHangTanTheGioi-Done.gif"
137;;;"019BanhMiSo1_PhoHoai-Done.gif";;19;"2013-07-24 22:53:28.234464";"2013-07-24 22:53:28.234464";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/137/019BanhMiSo1_PhoHoai-Done.gif"
138;;;"001BacAi_TrungTinBaoHiem-Done.gif";;1;"2013-07-24 22:57:02.07708";"2013-07-24 22:57:02.07708";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/138/001BacAi_TrungTinBaoHiem-Done.gif"
139;;;"002NoiCatGiauTinhBan_KimPhuongJewelry-Done.gif";;2;"2013-07-24 22:57:15.841347";"2013-07-24 22:57:15.841347";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/139/002NoiCatGiauTinhBan_KimPhuongJewelry-Done.gif"
140;;;"003Content-Done.gif";;3;"2013-07-24 22:57:29.999344";"2013-07-24 22:57:29.999344";8;"http://nguoidep.s3.amazonaws.com/uploads/page/image/140/003Content-Done.gif"
